claim_text,source,link
False statement that Uhuru Kenyatta introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/44522
Viral tweet falsely claims David Ndii is stepping down from office.,PesaCheck,https://pesacheck.org/91959
Hoax report says Musalia Mudavadi rejected the election results.,PesaCheck,https://pesacheck.org/30032
Viral tweet falsely claims Kalonzo Musyoka is stepping down from office.,PesaCheck,https://pesacheck.org/88504
False statement that Kalonzo Musyoka introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/24662
Rumor that Kalonzo Musyoka is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/17592
Anonymous blog post links Martha Karua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/21226
Misinformation that Ndindi Nyoro has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/26828
Hoax report says Ndindi Nyoro rejected the election results.,PesaCheck,https://pesacheck.org/44741
Anonymous blog post links David Ndii to a foreign interference scandal.,AfricaCheck,https://africacheck.org/37760
Social media post states David Ndii funds opposition campaigns.,AfricaCheck,https://africacheck.org/62296
False statement that Kalonzo Musyoka introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/25860
Social media post states Martha Karua funds opposition campaigns.,PesaCheck,https://pesacheck.org/54313
Anonymous blog post links William Ruto to a foreign interference scandal.,PesaCheck,https://pesacheck.org/87128
Claim: Martha Karua has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/92719
Social media post states William Ruto funds opposition campaigns.,PesaCheck,https://pesacheck.org/14117
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/46500
Social media post states Ndindi Nyoro funds opposition campaigns.,PesaCheck,https://pesacheck.org/84847
False statement that Rigathi Gachagua introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/71993
Social media post states Gachagua funds opposition campaigns.,PesaCheck,https://pesacheck.org/22704
Fake image claims Gachagua supports unconstitutional laws.,AfricaCheck,https://africacheck.org/63883
Claim: Ndindi Nyoro has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/17944
Fake image claims Gachagua supports unconstitutional laws.,PesaCheck,https://pesacheck.org/42591
Social media post states Martha Karua funds opposition campaigns.,AfricaCheck,https://africacheck.org/28373
Viral tweet falsely claims Gachagua is stepping down from office.,AfricaCheck,https://africacheck.org/70637
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/82132
Claim: Raila Odinga has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/22224
Viral tweet falsely claims Martha Karua is stepping down from office.,AfricaCheck,https://africacheck.org/73653
Social media post states Ndindi Nyoro funds opposition campaigns.,AfricaCheck,https://africacheck.org/17685
Claim circulating that Uhuru Kenyatta cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/61173
False statement that Musalia Mudavadi introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/65444
False statement that David Ndii introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/34890
Social media post states Musalia Mudavadi funds opposition campaigns.,PesaCheck,https://pesacheck.org/85914
Claim: David Ndii has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/17492
Anonymous blog post links William Ruto to a foreign interference scandal.,AfricaCheck,https://africacheck.org/75909
Viral tweet falsely claims David Ndii is stepping down from office.,PesaCheck,https://pesacheck.org/76562
Viral tweet falsely claims Raila Odinga is stepping down from office.,PesaCheck,https://pesacheck.org/87992
Social media post states Raila Odinga funds opposition campaigns.,AfricaCheck,https://africacheck.org/25713
Social media post states Rigathi Gachagua funds opposition campaigns.,PesaCheck,https://pesacheck.org/91183
Claim circulating that Raila Odinga cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/44179
Fake image claims Martha Karua supports unconstitutional laws.,PesaCheck,https://pesacheck.org/44814
Viral tweet falsely claims Gachagua is stepping down from office.,AfricaCheck,https://africacheck.org/69929
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/70068
Anonymous blog post links Rigathi Gachagua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/19602
Social media post states David Ndii funds opposition campaigns.,AfricaCheck,https://africacheck.org/27361
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/58434
Viral tweet falsely claims Musalia Mudavadi is stepping down from office.,AfricaCheck,https://africacheck.org/81200
Anonymous blog post links Musalia Mudavadi to a foreign interference scandal.,PesaCheck,https://pesacheck.org/97538
Rumor that David Ndii is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/27601
Misinformation that Musalia Mudavadi has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/82512
Rumor that Uhuru Kenyatta is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/89276
Fake image claims Martha Karua supports unconstitutional laws.,PesaCheck,https://pesacheck.org/93130
Hoax report says Musalia Mudavadi rejected the election results.,AfricaCheck,https://africacheck.org/42914
Misinformation that William Ruto has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/46265
Claim: William Ruto has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/27146
Viral tweet falsely claims Musalia Mudavadi is stepping down from office.,AfricaCheck,https://africacheck.org/82309
Hoax report says Gachagua rejected the election results.,PesaCheck,https://pesacheck.org/24663
Viral tweet falsely claims Raila Odinga is stepping down from office.,PesaCheck,https://pesacheck.org/58393
Hoax report says Rigathi Gachagua rejected the election results.,PesaCheck,https://pesacheck.org/66333
Claim: Uhuru Kenyatta has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/57795
Fake image claims William Ruto supports unconstitutional laws.,PesaCheck,https://pesacheck.org/99399
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/83385
Anonymous blog post links Gachagua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/41029
Viral tweet falsely claims Uhuru Kenyatta is stepping down from office.,AfricaCheck,https://africacheck.org/13248
Fake image claims Uhuru Kenyatta supports unconstitutional laws.,AfricaCheck,https://africacheck.org/97806
Rumor that Martha Karua is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/24168
Claim: Gachagua has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/39154
False statement that Martha Karua introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/50001
Social media post states Martha Karua funds opposition campaigns.,PesaCheck,https://pesacheck.org/96511
Claim circulating that Martha Karua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/46517
Rumor that Raila Odinga is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/94080
Claim circulating that David Ndii cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/13617
Rumor that Raila Odinga is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/86099
Claim: Musalia Mudavadi has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/88193
Fake image claims Gachagua supports unconstitutional laws.,AfricaCheck,https://africacheck.org/67199
Hoax report says Rigathi Gachagua rejected the election results.,PesaCheck,https://pesacheck.org/60488
Social media post states Rigathi Gachagua funds opposition campaigns.,AfricaCheck,https://africacheck.org/15817
Claim: Gachagua has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/57739
Misinformation that Gachagua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/91678
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/76469
Claim circulating that Musalia Mudavadi cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/62743
Hoax report says Musalia Mudavadi rejected the election results.,PesaCheck,https://pesacheck.org/35144
Claim circulating that Gachagua cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/90676
Rumor that Rigathi Gachagua is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/81819
Rumor that William Ruto is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/37549
Anonymous blog post links Gachagua to a foreign interference scandal.,AfricaCheck,https://africacheck.org/70946
False statement that Ndindi Nyoro introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/77000
Viral tweet falsely claims Ndindi Nyoro is stepping down from office.,PesaCheck,https://pesacheck.org/47196
Anonymous blog post links David Ndii to a foreign interference scandal.,AfricaCheck,https://africacheck.org/22240
Rumor that Martha Karua is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/36100
Claim: Uhuru Kenyatta has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/42092
Anonymous blog post links Ndindi Nyoro to a foreign interference scandal.,PesaCheck,https://pesacheck.org/69692
Anonymous blog post links Gachagua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/60328
Claim circulating that Ndindi Nyoro cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/29342
Misinformation that William Ruto has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/38683
Hoax report says Uhuru Kenyatta rejected the election results.,AfricaCheck,https://africacheck.org/16582
Social media post states David Ndii funds opposition campaigns.,PesaCheck,https://pesacheck.org/69829
False statement that Uhuru Kenyatta introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/68008
Hoax report says Rigathi Gachagua rejected the election results.,AfricaCheck,https://africacheck.org/81810
Viral tweet falsely claims Ndindi Nyoro is stepping down from office.,AfricaCheck,https://africacheck.org/68991
Social media post states Musalia Mudavadi funds opposition campaigns.,AfricaCheck,https://africacheck.org/78327
Social media post states Ndindi Nyoro funds opposition campaigns.,AfricaCheck,https://africacheck.org/67654
Rumor that Raila Odinga is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/45614
Fake image claims Kalonzo Musyoka supports unconstitutional laws.,PesaCheck,https://pesacheck.org/28136
Social media post states Uhuru Kenyatta funds opposition campaigns.,AfricaCheck,https://africacheck.org/30028
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/63424
Hoax report says Kalonzo Musyoka rejected the election results.,AfricaCheck,https://africacheck.org/64496
Social media post states William Ruto funds opposition campaigns.,AfricaCheck,https://africacheck.org/61049
Claim: Rigathi Gachagua has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/72518
Fake image claims William Ruto supports unconstitutional laws.,AfricaCheck,https://africacheck.org/61116
Hoax report says Gachagua rejected the election results.,PesaCheck,https://pesacheck.org/73993
Rumor that Martha Karua is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/73654
Claim circulating that William Ruto cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/97670
Viral tweet falsely claims Gachagua is stepping down from office.,AfricaCheck,https://africacheck.org/26728
Hoax report says Rigathi Gachagua rejected the election results.,PesaCheck,https://pesacheck.org/61645
Anonymous blog post links Rigathi Gachagua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/21003
Viral tweet falsely claims Gachagua is stepping down from office.,AfricaCheck,https://africacheck.org/33819
Rumor that William Ruto is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/52906
False statement that Martha Karua introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/54236
Rumor that Gachagua is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/43065
False statement that Raila Odinga introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/80702
Fake image claims William Ruto supports unconstitutional laws.,PesaCheck,https://pesacheck.org/95215
Claim: Raila Odinga has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/42411
Claim: Martha Karua has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/41266
False statement that Uhuru Kenyatta introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/83920
False statement that Martha Karua introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/58351
Anonymous blog post links Uhuru Kenyatta to a foreign interference scandal.,PesaCheck,https://pesacheck.org/31465
Misinformation that Musalia Mudavadi has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/50888
Claim circulating that Rigathi Gachagua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/35995
Anonymous blog post links Raila Odinga to a foreign interference scandal.,PesaCheck,https://pesacheck.org/23356
Anonymous blog post links Musalia Mudavadi to a foreign interference scandal.,PesaCheck,https://pesacheck.org/84177
Fake image claims William Ruto supports unconstitutional laws.,AfricaCheck,https://africacheck.org/96706
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/11658
False statement that Gachagua introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/66822
False statement that Kalonzo Musyoka introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/67080
Hoax report says Uhuru Kenyatta rejected the election results.,AfricaCheck,https://africacheck.org/90728
False statement that David Ndii introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/67091
Rumor that Rigathi Gachagua is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/42177
Rumor that Raila Odinga is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/41963
Anonymous blog post links Ndindi Nyoro to a foreign interference scandal.,AfricaCheck,https://africacheck.org/54092
False statement that William Ruto introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/33834
Social media post states Ndindi Nyoro funds opposition campaigns.,AfricaCheck,https://africacheck.org/43862
Rumor that Kalonzo Musyoka is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/82848
Hoax report says William Ruto rejected the election results.,PesaCheck,https://pesacheck.org/21221
Claim circulating that Martha Karua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/82768
False statement that Martha Karua introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/68743
Misinformation that William Ruto has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/39045
Social media post states Gachagua funds opposition campaigns.,AfricaCheck,https://africacheck.org/97026
Fake image claims Rigathi Gachagua supports unconstitutional laws.,AfricaCheck,https://africacheck.org/82544
Fake image claims David Ndii supports unconstitutional laws.,AfricaCheck,https://africacheck.org/82140
Fake image claims Kalonzo Musyoka supports unconstitutional laws.,AfricaCheck,https://africacheck.org/45509
Rumor that Musalia Mudavadi is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/25814
Fake image claims Martha Karua supports unconstitutional laws.,PesaCheck,https://pesacheck.org/80236
Social media post states Uhuru Kenyatta funds opposition campaigns.,PesaCheck,https://pesacheck.org/73464
Anonymous blog post links Musalia Mudavadi to a foreign interference scandal.,AfricaCheck,https://africacheck.org/23176
Rumor that Martha Karua is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/57301
Rumor that Uhuru Kenyatta is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/80010
Rumor that Uhuru Kenyatta is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/17146
Rumor that David Ndii is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/93606
Misinformation that Ndindi Nyoro has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/85243
False statement that Musalia Mudavadi introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/67733
Viral tweet falsely claims Kalonzo Musyoka is stepping down from office.,PesaCheck,https://pesacheck.org/43092
Misinformation that Ndindi Nyoro has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/62521
Misinformation that Ndindi Nyoro has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/29887
Anonymous blog post links Uhuru Kenyatta to a foreign interference scandal.,AfricaCheck,https://africacheck.org/21164
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/89471
Anonymous blog post links Rigathi Gachagua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/78494
False statement that Gachagua introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/48974
Claim circulating that Rigathi Gachagua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/84531
Claim: Rigathi Gachagua has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/37235
Rumor that Martha Karua is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/30585
Viral tweet falsely claims Martha Karua is stepping down from office.,PesaCheck,https://pesacheck.org/30517
Claim circulating that William Ruto cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/87832
Rumor that Ndindi Nyoro is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/40340
Rumor that Musalia Mudavadi is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/19329
Rumor that Martha Karua is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/65723
Hoax report says Raila Odinga rejected the election results.,PesaCheck,https://pesacheck.org/94886
Rumor that Uhuru Kenyatta is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/19359
Viral tweet falsely claims William Ruto is stepping down from office.,AfricaCheck,https://africacheck.org/87993
Rumor that Rigathi Gachagua is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/26299
Rumor that Ndindi Nyoro is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/45683
Hoax report says David Ndii rejected the election results.,AfricaCheck,https://africacheck.org/67377
Anonymous blog post links Raila Odinga to a foreign interference scandal.,PesaCheck,https://pesacheck.org/66626
Anonymous blog post links Kalonzo Musyoka to a foreign interference scandal.,AfricaCheck,https://africacheck.org/13390
Social media post states Raila Odinga funds opposition campaigns.,PesaCheck,https://pesacheck.org/98117
Anonymous blog post links Musalia Mudavadi to a foreign interference scandal.,PesaCheck,https://pesacheck.org/32962
Hoax report says Ndindi Nyoro rejected the election results.,AfricaCheck,https://africacheck.org/46458
Anonymous blog post links Uhuru Kenyatta to a foreign interference scandal.,AfricaCheck,https://africacheck.org/93202
Misinformation that Ndindi Nyoro has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/55607
Fake image claims Gachagua supports unconstitutional laws.,AfricaCheck,https://africacheck.org/97835
Viral tweet falsely claims Raila Odinga is stepping down from office.,AfricaCheck,https://africacheck.org/63955
Rumor that Ndindi Nyoro is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/82102
False statement that William Ruto introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/51224
Fake image claims Musalia Mudavadi supports unconstitutional laws.,PesaCheck,https://pesacheck.org/62976
Claim: David Ndii has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/64165
Social media post states William Ruto funds opposition campaigns.,AfricaCheck,https://africacheck.org/91609
False statement that Ndindi Nyoro introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/36680
Hoax report says Musalia Mudavadi rejected the election results.,PesaCheck,https://pesacheck.org/47752
False statement that Ndindi Nyoro introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/13783
Social media post states Rigathi Gachagua funds opposition campaigns.,PesaCheck,https://pesacheck.org/50730
Claim: David Ndii has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/22217
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/25396
False statement that Uhuru Kenyatta introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/76698
Claim circulating that Musalia Mudavadi cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/71894
False statement that Martha Karua introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/60277
Anonymous blog post links Martha Karua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/19150
Claim circulating that Musalia Mudavadi cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/76550
Claim: Musalia Mudavadi has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/49132
Anonymous blog post links Rigathi Gachagua to a foreign interference scandal.,AfricaCheck,https://africacheck.org/29476
Hoax report says Ndindi Nyoro rejected the election results.,AfricaCheck,https://africacheck.org/55236
Hoax report says Kalonzo Musyoka rejected the election results.,AfricaCheck,https://africacheck.org/69682
Social media post states Kalonzo Musyoka funds opposition campaigns.,PesaCheck,https://pesacheck.org/84946
Social media post states Gachagua funds opposition campaigns.,AfricaCheck,https://africacheck.org/15720
False statement that Kalonzo Musyoka introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/60604
False statement that Uhuru Kenyatta introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/26547
Anonymous blog post links David Ndii to a foreign interference scandal.,AfricaCheck,https://africacheck.org/23154
Misinformation that Ndindi Nyoro has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/12011
Claim circulating that Uhuru Kenyatta cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/19807
Rumor that Ndindi Nyoro is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/91691
Misinformation that Gachagua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/98389
Claim circulating that David Ndii cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/92155
Hoax report says Ndindi Nyoro rejected the election results.,PesaCheck,https://pesacheck.org/90931
Social media post states Raila Odinga funds opposition campaigns.,AfricaCheck,https://africacheck.org/39817
Claim circulating that Raila Odinga cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/93066
False statement that Raila Odinga introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/49251
Claim: William Ruto has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/17355
Fake image claims Musalia Mudavadi supports unconstitutional laws.,AfricaCheck,https://africacheck.org/66450
Social media post states Uhuru Kenyatta funds opposition campaigns.,AfricaCheck,https://africacheck.org/84177
Viral tweet falsely claims Uhuru Kenyatta is stepping down from office.,PesaCheck,https://pesacheck.org/20350
Claim circulating that Rigathi Gachagua cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/75230
Viral tweet falsely claims Rigathi Gachagua is stepping down from office.,PesaCheck,https://pesacheck.org/70443
False statement that Musalia Mudavadi introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/97404
False statement that William Ruto introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/98815
Viral tweet falsely claims David Ndii is stepping down from office.,PesaCheck,https://pesacheck.org/67898
Anonymous blog post links Kalonzo Musyoka to a foreign interference scandal.,AfricaCheck,https://africacheck.org/93746
Rumor that Gachagua is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/49599
Claim circulating that Martha Karua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/23979
Claim circulating that Martha Karua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/85341
Rumor that Musalia Mudavadi is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/96275
Rumor that Gachagua is behind tribal clashes in rural areas.,PesaCheck,https://pesacheck.org/84177
Anonymous blog post links William Ruto to a foreign interference scandal.,AfricaCheck,https://africacheck.org/47512
Anonymous blog post links Martha Karua to a foreign interference scandal.,AfricaCheck,https://africacheck.org/38705
Anonymous blog post links Martha Karua to a foreign interference scandal.,AfricaCheck,https://africacheck.org/98835
Misinformation that Uhuru Kenyatta has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/50492
Claim: Ndindi Nyoro has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/27224
Rumor that Raila Odinga is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/64460
Social media post states Uhuru Kenyatta funds opposition campaigns.,PesaCheck,https://pesacheck.org/80701
Hoax report says Kalonzo Musyoka rejected the election results.,AfricaCheck,https://africacheck.org/31567
False statement that Musalia Mudavadi introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/54396
False statement that Raila Odinga introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/28449
Claim circulating that Martha Karua cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/21836
Claim: Gachagua has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/80329
False statement that Raila Odinga introduced a 40% tax on mobile money.,AfricaCheck,https://africacheck.org/98188
Anonymous blog post links Musalia Mudavadi to a foreign interference scandal.,AfricaCheck,https://africacheck.org/93695
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/71797
Anonymous blog post links William Ruto to a foreign interference scandal.,AfricaCheck,https://africacheck.org/89964
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/49608
Misinformation that Gachagua has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/15943
Rumor that William Ruto is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/25220
Social media post states Raila Odinga funds opposition campaigns.,PesaCheck,https://pesacheck.org/60940
Fake image claims Ndindi Nyoro supports unconstitutional laws.,AfricaCheck,https://africacheck.org/86983
